price_date,symbol,company_name,open_price,close_price,high_price,low_price,volume
2025-09-05,GOOGL,Alphabet Inc.,232.2,235.0,235.76,231.9,46588925
2025-09-05,MSFT,Microsoft Corp.,509.07,495.0,511.97,492.37,31994846
2025-09-05,TSLA,Tesla Inc.,348.0,350.84,355.87,344.68,108989785
2025-09-08,AAPL,Apple Inc.,239.3,237.88,240.15,236.34,48999495
2025-09-08,AMZN,Amazon.com Inc.,234.94,235.84,237.6,233.75,33947104
2025-09-08,GOOGL,Alphabet Inc.,235.47,234.04,238.13,233.67,32474743
2025-09-08,MSFT,Microsoft Corp.,498.11,498.2,501.2,495.03,16771015
2025-09-08,TSLA,Tesla Inc.,354.64,346.4,358.44,344.84,75208290
2025-09-09,AAPL,Apple Inc.,237.0,234.35,238.78,233.36,66313918
2025-09-09,AMZN,Amazon.com Inc.,236.36,238.24,238.85,235.08,27033778
2025-09-09,GOOGL,Alphabet Inc.,234.17,239.63,240.47,233.23,38060959
2025-09-09,MSFT,Microsoft Corp.,501.43,498.41,502.25,497.7,14410542
2025-09-09,TSLA,Tesla Inc.,348.44,346.97,350.77,343.82,53815991
2025-09-10,AAPL,Apple Inc.,232.19,226.79,232.42,225.95,83440810
2025-09-10,AMZN,Amazon.com Inc.,237.52,230.33,237.68,229.1,60907714
2025-09-10,GOOGL,Alphabet Inc.,238.9,239.17,241.66,237.85,35141074
2025-09-10,MSFT,Microsoft Corp.,502.98,500.37,503.23,496.72,21611816
2025-09-10,TSLA,Tesla Inc.,350.55,347.79,356.33,346.07,72121679
2025-09-11,AAPL,Apple Inc.,226.88,230.03,230.45,226.65,50208578
2025-09-11,AMZN,Amazon.com Inc.,231.49,229.95,231.53,229.34,37485598
2025-09-11,GOOGL,Alphabet Inc.,239.88,240.37,242.25,236.25,30599328
2025-09-11,MSFT,Microsoft Corp.,502.25,501.01,503.17,497.88,18881608
2025-09-11,TSLA,Tesla Inc.,350.17,368.81,368.99,347.6,103756010
